Uniform distribution
Round took 0.057402173
Round took 0.064032521
Round took 0.084174231
Round took 0.048491688
Round took 0.056275211
Round took 0.05529362
Round took 0.059177968
Round took 0.104051727
Round took 0.044141658
Round took 0.054125127
Round took 0.072379622
Round took 0.058590314
Round took 0.048172874
Round took 0.052956083
Round took 0.054424434
Round took 0.095477605
Round took 0.060184181
Round took 0.067707912
Round took 0.071024836
Round took 0.056299889
Round took 0.115858946
Round took 0.103975612
Round took 0.087672353
Round took 0.0696163
Round took 0.306852149
Round took 0.304794489
Round took 0.057020876
Round took 0.059555252
Round took 0.056819147
Round took 0.060547514
Round took 0.065189805
Round took 0.059905772
Round took 0.060747106
Round took 0.051907944
Round took 0.052800241
Round took 0.058983471
Round took 0.057873507
Round took 0.066584185
Round took 0.063960123
Round took 0.070361669
Round took 0.070518404
Round took 0.056125658
Round took 0.058059883
Round took 0.063914693
Round took 0.059665559
Round took 0.068309797
Round took 0.062185101
Round took 0.087298297
Round took 0.120163901
Round took 0.091712115
Round took 0.113758946
Round took 0.073367488
Round took 0.812921588
Round took 0.067509529
Round took 0.059608308
Round took 0.312815423
Round took 0.065123855
Round took 0.06514424
Round took 0.104044442
Round took 0.090890467
Round took 0.06345966
Round took 0.059980862
Round took 0.059564849
Round took 0.056222796
Round took 0.057191045
Round took 0.299166901
Round took 0.053578249
Round took 0.053789311
Round took 0.05473701
Round took 0.341529429
Round took 0.061949191
Round took 0.164046649
Round took 0.089518075
Round took 0.067292054
Round took 0.40141425
Round took 0.061191655
Round took 0.052932421
Round took 0.058797114
Round took 0.056256509
Round took 0.058589436
Round took 0.068160956
Round took 0.062495402
Round took 0.050858908
Round took 0.054702554
Round took 0.323978584
Round took 0.067363711
Round took 0.075390736
Round took 0.063518581
Round took 0.074976376
Round took 0.06941897
Round took 0.050939722
Round took 0.051876016
Round took 0.317318364
Round took 0.052153742
Round took 0.053008183
Round took 0.060278986
Round took 0.054742719
Round took 0.058516997
Round took 0.308400733
Round took 0.056874889
Round took 0.055460008
Round took 0.056594545
Round took 0.054513627
Round took 0.055533765
Round took 0.053193413
Round took 0.047375904
Round took 0.053710141
Round took 0.309618751
Round took 0.053911785
Round took 0.321674328
Round took 0.104181303
Round took 0.050219101
Round took 0.076220549
Round took 0.071755513
Round took 0.111172579
Round took 0.072235084
Round took 0.326973726
Round took 0.061211556
Round took 0.045892683
Round took 0.042786889
Round took 0.061180643
Round took 0.080000316
Round took 0.079459886
Round took 0.06942718
Round took 0.12227588
Round took 0.070046198
Round took 0.051382126
Round took 0.109914233
Round took 0.060792346
Round took 0.055477249
Round took 0.056478576
Round took 0.056880677
Round took 0.068657067
Round took 0.070129603
Round took 0.047144661
Round took 0.056998483
Round took 0.083533257
Round took 0.094593805
Round took 0.30102462
Round took 0.053065031
Round took 0.055127261
Round took 0.053564665
Round took 0.053445441
Round took 0.0616125
Round took 0.053029211
Round took 0.094134904
Round took 0.056567467
Round took 0.066815468
Round took 0.05621389
Round took 0.053962673
Round took 0.052556232
Round took 0.058813391
Round took 0.054452412
Round took 0.059939276
Round took 0.314044632
Round took 0.305756188
Round took 0.075273187
Round took 0.112321326
Round took 0.05477969
Round took 0.056015905
Round took 0.053216473
Round took 0.054940174
Round took 0.188823023
Round took 0.058077986
Round took 0.05381435
Round took 0.055367752
Round took 0.063703446
Round took 0.058520515
Round took 0.056689941
Round took 0.064603157
Round took 0.060633812
Round took 0.054954764
Round took 0.061377274
Round took 0.056776962
Round took 0.059888678
Round took 0.056594025
Round took 0.059754595
Round took 0.316374784
Round took 0.056917952
Round took 0.31000125
Round took 0.322583596
Round took 0.054467889
Round took 0.055448479
Round took 0.057157355
Round took 0.057845896
Round took 0.056808235
Round took 0.071402038
Round took 0.050075041
Round took 0.320266435
Round took 0.052609763
Round took 0.052065161
Round took 0.053750269
Round took 0.828362633
Round took 0.053116733
Round took 0.057699116
Round took 0.059405587
Round took 0.05134376
Round took 0.056683251
Round took 0.058097356
Round took 0.053889247
Round took 0.073530819
Round took 0.078573801
Round took 0.061022448
Round took 0.054276951
Round took 0.05791397
Round took 0.817993288
Round took 0.051359413
Round took 0.050953669
Round took 0.064388768
Round took 0.050369619
Round took 0.050834239
Round took 0.05681051
Round took 0.056095287
Round took 0.312663363
Round took 0.054572479
Round took 0.401477547
Round took 0.037601618
Round took 0.050349504
Round took 0.281508068
Round took 0.028740084
Round took 0.032548569
Round took 0.040172225
Round took 0.04590287
Round took 0.063929384
Round took 0.064072324
Round took 0.057771392
Round took 0.060148213
