Uniform distribution
Round took 0.013083869
Round took 0.010500784
Round took 0.011456741
Round took 0.00484703
Round took 0.011386971
Round took 0.010175735
Round took 0.006916357
Round took 0.009396452
Round took 0.009598367
Round took 0.015124203
Round took 0.013107392
Round took 0.010710978
Round took 0.012282489
Round took 0.011743695
Round took 0.010117183
Round took 0.013987636
Round took 0.008274353
Round took 0.012113383
Round took 0.014084662
Round took 0.021722898
Round took 0.013675441
Round took 0.009967554
Round took 0.010532302
Round took 0.018872651
Round took 0.013635648
Round took 0.011394959
Round took 0.014368336
Round took 0.019691459
Round took 0.016692109
Round took 0.014488227
Round took 0.013882601
Round took 0.009069707
Round took 0.015409117
Round took 0.010579293
Round took 0.018385295
Round took 0.01764008
Round took 0.023451457
Round took 0.01435888
Round took 0.019075759
Round took 0.014721774
Round took 0.009644959
Round took 0.012441123
Round took 0.017232693
Round took 0.013843742
Round took 0.015066975
Round took 0.02308539
Round took 0.015295078
Round took 0.014358729
Round took 0.020295466
Round took 0.019005682
Round took 0.014235611
Round took 0.014950823
Round took 0.01908825
Round took 0.019820267
Round took 0.016110008
Round took 0.028498174
Round took 0.015376374
Round took 0.019057718
Round took 0.015029645
Round took 0.013062995
Round took 0.021766938
Round took 0.013145298
Round took 0.018535839
Round took 0.01664541
Round took 0.013027046
Round took 0.01668694
Round took 0.014933358
Round took 0.013789004
Round took 0.021392672
Round took 0.009529987
Round took 0.017135726
Round took 0.020415719
Round took 0.021430022
Round took 0.016542944
Round took 0.015216346
Round took 0.015596867
Round took 0.01508884
Round took 0.018218189
Round took 0.019536063
Round took 0.018489117
Round took 0.01771385
Round took 0.016236971
Round took 0.019141851
Round took 0.015574741
Round took 0.016432928
Round took 0.023462813
Round took 0.016980868
Round took 0.014077793
Round took 0.019878326
Round took 0.020861406
Round took 0.018695566
Round took 0.018292858
Round took 0.019370719
Round took 0.012661002
Round took 0.017677716
Round took 0.013048249
Round took 0.015127836
Round took 0.017806548
Round took 0.014207683
Round took 0.018020484
Round took 0.017362181
Round took 0.019511899
Round took 0.016908769
Round took 0.013363577
Round took 0.01648779
Round took 0.01724942
Round took 0.014279523
Round took 0.013710148
Round took 0.016611612
Round took 0.016701143
Round took 0.017403249
Round took 0.018299766
Round took 0.016440826
Round took 0.017082657
Round took 0.014982023
Round took 0.014464726
Round took 0.026463581
Round took 0.019767661
Round took 0.017213587
Round took 0.016347811
Round took 0.014594342
Round took 0.014577175
Round took 0.018607182
Round took 0.023140169
Round took 0.015112987
Round took 0.013150577
Round took 0.029669228
Round took 0.018950818
Round took 0.02022991
Round took 0.014375748
Round took 0.017807164
Round took 0.019242273
Round took 0.013919439
Round took 0.019609031
Round took 0.01918285
Round took 0.02117252
Round took 0.019586539
Round took 0.020411723
Round took 0.013494659
Round took 0.017393619
Round took 0.014829098
Round took 0.01787959
Round took 0.01263623
Round took 0.016158996
Round took 0.019958277
Round took 0.019882866
Round took 0.018201776
Round took 0.016774469
Round took 0.016065012
Round took 0.020812907
Round took 0.022657175
Round took 0.016535222
Round took 0.023397804
Round took 0.023281923
Round took 0.011887416
Round took 0.02048972
Round took 0.019933251
Round took 0.030618186
Round took 0.01524131
Round took 0.018387252
Round took 0.021665932
Round took 0.021425549
Round took 0.018333012
Round took 0.018985005
Round took 0.019392941
Round took 0.017419268
Round took 0.018229358
Round took 0.017201769
Round took 0.021013342
Round took 0.014714568
Round took 0.015891174
Round took 0.014232654
Round took 0.014522825
Round took 0.019106058
Round took 0.014650651
Round took 0.017699771
Round took 0.01706108
Round took 0.017761093
Round took 0.018997017
Round took 0.012627406
Round took 0.01675323
Round took 0.017237289
Round took 0.016373488
Round took 0.019370033
Round took 0.017966965
Round took 0.017203072
Round took 0.020191025
Round took 0.017448742
Round took 0.020353907
Round took 0.015575045
Round took 0.014908913
Round took 0.017478069
Round took 0.013667626
Round took 0.016210621
Round took 0.019074701
Round took 0.014861386
Round took 0.020503684
Round took 0.01946496
Round took 0.015930022
Round took 0.019720603
Round took 0.017107829
Round took 0.01821202
Round took 0.016344448
Round took 0.020086287
Round took 0.015027426
Round took 0.014909334
Round took 0.018497863
Round took 0.020302858
Round took 0.014331152
Round took 0.017640797
Round took 0.017754219
Round took 0.012394359
Round took 0.016963515
Round took 0.016203763
Round took 0.012926772
Round took 0.014329305
Round took 0.01473736
Round took 0.020965221
Round took 0.015713643
Round took 0.020519299
Round took 0.016224279
Round took 0.015832767
Round took 0.016889619
Round took 0.01518148
Round took 0.016148181
Round took 0.019001409
Round took 0.019915415
Round took 0.015183887
Round took 0.01399486
Round took 0.01549167
Round took 0.011242397
Round took 0.014939167
Round took 0.018837343
Round took 0.023741235
Round took 0.018280907
Round took 0.016809961
Round took 0.014714675
Round took 0.019904839
Round took 0.018015601
Round took 0.019362015
Round took 0.022409803
Round took 0.013287176
Round took 0.016155494
Round took 0.016672906
Round took 0.016594775
Round took 0.017846907
Round took 0.013879079
Round took 0.01353745
Round took 0.015710034
Round took 0.012220119
Round took 0.013150512
Round took 0.013385959
Round took 0.017972011
Round took 0.01636334
Round took 0.021096015
Round took 0.021052334
Round took 0.019978485
Round took 0.015510545
Round took 0.018350199
Round took 0.015727333
Round took 0.018667764
Round took 0.016182403
Round took 0.015607843
Round took 0.019164198
Round took 0.015567895
Round took 0.017797073
Round took 0.018341287
Round took 0.019907809
Round took 0.021414097
Round took 0.013939003
Round took 0.017576413
Round took 0.015474155
Round took 0.019419002
Round took 0.020998307
Round took 0.017127508
Round took 0.022537155
Round took 0.017381198
Round took 0.015670414
Round took 0.014334663
Round took 0.015397183
Round took 0.018941468
Round took 0.016704875
Round took 0.01868012
Round took 0.013852574
Round took 0.014296638
Round took 0.017285319
Round took 0.018633411
Round took 0.019548562
Round took 0.019094576
Round took 0.015733837
Round took 0.020387591
Round took 0.014658081
Round took 0.018513108
Round took 0.016603319
Round took 0.016662155
Round took 0.020671529
Round took 0.017070036
Round took 0.018536703
Round took 0.016816717
Round took 0.017523592
Round took 0.017253384
Round took 0.013592883
Round took 0.017927743
Round took 0.019674325
Round took 0.022696719
Round took 0.012629743
Round took 0.014710044
Round took 0.020467819
Round took 0.019280576
Round took 0.028515595
Round took 0.017845552
Round took 0.018053751
Round took 0.018240736
Round took 0.015795111
Round took 0.01649851
Round took 0.014090984
Round took 0.013723374
Round took 0.012952775
Round took 0.013957379
Round took 0.017334221
Round took 0.016141883
Round took 0.014285022
Round took 0.01600643
Round took 0.017752272
Round took 0.014037225
Round took 0.031672387
Round took 0.016417009
Round took 0.020854895
Round took 0.030483376
Round took 0.02024067
Round took 0.020171771
Round took 0.015134956
Round took 0.021715522
Round took 0.015718332
Round took 0.014926497
Round took 0.017076654
Round took 0.017083468
Round took 0.019314626
Round took 0.015567399
Round took 0.018246083
Round took 0.019741566
Round took 0.011960005
Round took 0.016872254
Round took 0.013622766
Round took 0.015863899
Round took 0.012794105
Round took 0.018626329
Round took 0.016040399
Round took 0.016442401
Round took 0.015326559
Round took 0.011886302
Round took 0.020005519
Round took 0.020394688
Round took 0.016752703
Round took 0.016367872
Round took 0.01797027
Round took 0.014179349
Round took 0.014122914
Round took 0.014658339
Round took 0.015573249
Round took 0.022339432
Round took 0.017694559
Round took 0.017798913
Round took 0.014135006
Round took 0.020408646
Round took 0.019753007
Round took 0.02312287
Round took 0.019213766
Round took 0.015411331
Round took 0.017094256
Round took 0.018386161
Round took 0.019037912
Round took 0.017831386
Round took 0.019381463
Round took 0.022166038
Round took 0.017666776
Round took 0.021041164
Round took 0.014331173
Round took 0.018641265
Round took 0.017849681
Round took 0.012448968
Round took 0.018845219
Round took 0.011249576
Round took 0.01669563
Round took 0.013755775
Round took 0.016534305
Round took 0.01983694
Round took 0.018117559
Round took 0.017821083
Round took 0.016565007
Round took 0.012607696
Round took 0.010995093
Round took 0.021481886
Round took 0.01741522
Round took 0.017453268
Round took 0.020987877
Round took 0.019438758
Round took 0.017565545
Round took 0.016994735
Round took 0.020403074
Round took 0.020246672
Round took 0.016341649
Round took 0.0152142
Round took 0.013535795
Round took 0.015124056
Round took 0.019259995
Round took 0.010850758
Round took 0.017647563
Round took 0.014113575
Round took 0.019848866
Round took 0.013085008
Round took 0.016086135
Round took 0.012758352
Round took 0.016298471
Round took 0.015808988
Round took 0.015218626
Round took 0.019911108
Round took 0.018131979
Round took 0.01484192
Round took 0.015332403
Round took 0.013521622
Round took 0.016918234
Round took 0.023158782
Round took 0.018842177
Round took 0.014540423
Round took 0.013468342
Round took 0.016486681
Round took 0.020653952
Round took 0.014743216
Round took 0.017395755
Round took 0.014130196
Round took 0.022904338
Round took 0.015594909
Round took 0.013348502
Round took 0.014407522
Round took 0.015916469
Round took 0.016458187
Round took 0.018609366
Round took 0.014826543
Round took 0.017644942
Round took 0.019883678
Round took 0.01884866
Round took 0.021375176
Round took 0.020178409
Round took 0.023453772
Round took 0.024179211
Round took 0.021616096
Round took 0.019766699
Round took 0.017193746
Round took 0.01967985
Round took 0.020308268
Round took 0.014459792
Round took 0.018220226
Round took 0.02147896
Round took 0.021289028
Round took 0.018934964
Round took 0.02456934
Round took 0.016607994
Round took 0.021325681
Round took 0.023638707
Round took 0.026197295
Round took 0.02612177
Round took 0.026187264
Round took 0.017857924
Round took 0.021374007
Round took 0.020559145
Round took 0.020697395
Round took 0.015804142
Round took 0.021735829
Round took 0.019237631
Round took 0.019850322
Round took 0.023444613
Round took 0.022541253
Round took 0.022908112
Round took 0.026128071
Round took 0.023753142
Round took 0.018953973
Round took 0.018822659
Round took 0.023290806
Round took 0.016518171
Round took 0.017056253
Round took 0.011559214
Round took 0.022440319
Round took 0.01145514
Round took 0.016523103
Round took 0.01613128
Round took 0.018767468
Round took 0.016765829
Round took 0.016191761
Round took 0.021569483
Round took 0.02036924
Round took 0.016376221
Round took 0.012822469
Round took 0.019631135
Round took 0.018884094
Round took 0.018836647
Round took 0.018617281
Round took 0.018084839
Round took 0.017355316
Round took 0.019433012
Round took 0.018097422
Round took 0.015826433
Round took 0.017211501
Round took 0.015535085
Round took 0.018348546
Round took 0.017204644
Round took 0.016546894
Round took 0.01452881
Round took 0.017665557
Round took 0.015633888
Round took 0.016500008
Round took 0.018536379
Round took 0.020910095
Round took 0.020408486
Round took 0.019664936
Round took 0.01320029
Round took 0.015341743
Round took 0.014101481
Round took 0.014448794
Round took 0.018967084
Round took 0.021987384
Round took 0.019360567
Round took 0.018778537
Round took 0.014192709
Round took 0.015912269
Round took 0.035090469
Round took 0.014259103
Round took 0.016812236
Round took 0.015431813
Round took 0.035578082
Round took 0.016253473
Round took 0.018001752
Round took 0.014695379
Round took 0.018228986
Round took 0.013499692
Round took 0.018198353
Round took 0.015166859
Round took 0.016064562
Round took 0.022711915
Round took 0.016011472
Round took 0.014841622
Round took 0.019343492
Round took 0.014123025
Round took 0.013233141
Round took 0.012690449
Round took 0.018023496
Round took 0.015094471
Round took 0.014601528
Round took 0.020075729
Round took 0.01497111
Round took 0.013202731
Round took 0.015480721
Round took 0.01452572
Round took 0.011550021
Round took 0.015262563
Round took 0.015687184
Round took 0.016319312
Round took 0.019319562
Round took 0.012960438
Round took 0.013543903
Round took 0.01661694
Round took 0.018619762
Round took 0.020221101
Round took 0.017391846
Round took 0.035653204
Round took 0.017110254
Round took 0.016572523
Round took 0.015911159
Round took 0.038306118
Round took 0.020112562
Round took 0.023157369
Round took 0.016057805
