Uniform distribution
Round took 0.013819176
Round took 0.011346753
Round took 0.01038943
Round took 0.005981248
Round took 0.018053947
Round took 0.010394909
Round took 0.006283539
Round took 0.020154439
Round took 0.015238226
Round took 0.012201706
Round took 0.014857683
Round took 0.014680759
Round took 0.009226567
Round took 0.010844881
Round took 0.010878697
Round took 0.017786638
Round took 0.011351508
Round took 0.012685953
Round took 0.019678473
Round took 0.013711369
Round took 0.014464414
Round took 0.011745333
Round took 0.018562379
Round took 0.015854285
Round took 0.014497449
Round took 0.016443215
Round took 0.009750347
Round took 0.015812649
Round took 0.013813024
Round took 0.035502776
Round took 0.027321985
Round took 0.03037257
Round took 0.02253799
Round took 0.027690339
Round took 0.030712052
Round took 0.02955792
Round took 0.031464131
Round took 0.022794086
Round took 0.02605783
Round took 0.027707824
Round took 0.049830171
Round took 0.024895586
Round took 0.040919938
Round took 0.028660305
Round took 0.051820816
Round took 0.02985836
Round took 0.069236088
Round took 0.013407886
Round took 0.018461165
Round took 0.021723974
Round took 0.015149974
Round took 0.007418871
Round took 0.01087402
Round took 0.013142083
Round took 0.020283816
Round took 0.015000297
Round took 0.014732525
Round took 0.018570121
Round took 0.008096273
Round took 0.005527414
Round took 0.014989083
Round took 0.006704207
Round took 0.018977546
Round took 0.012064211
Round took 0.017488365
Round took 0.010762756
Round took 0.015276891
Round took 0.032476472
Round took 0.014788775
Round took 0.010622916
Round took 0.013608049
Round took 0.006824978
Round took 0.008617084
Round took 0.005805402
Round took 0.007917475
Round took 0.009142221
Round took 0.005935271
Round took 0.006016637
Round took 0.013850266
Round took 0.01328034
Round took 0.027283733
Round took 0.008813829
Round took 0.010128658
Round took 0.013019813
Round took 0.009707831
Round took 0.007742725
Round took 0.007382411
Round took 0.020599692
Round took 0.005335155
Round took 0.010905536
Round took 0.004900186
Round took 0.005883468
Round took 0.007885364
Round took 0.01890642
Round took 0.014943655
Round took 0.010823781
Round took 0.008276307
Round took 0.008278375
Round took 0.011373988
Round took 0.017536218
Round took 0.007424494
Round took 0.018164588
Round took 0.020287075
Round took 0.00945222
Round took 0.012297581
Round took 0.007173253
Round took 0.008797604
Round took 0.020109142
Round took 0.016483816
Round took 0.010579019
Round took 0.007804745
Round took 0.026870225
Round took 0.034449121
Round took 0.047947416
Round took 0.037787026
Round took 0.041481435
Round took 0.055695145
Round took 0.04250369
Round took 0.039383985
Round took 0.034877013
Round took 0.031672572
Round took 0.031299145
Round took 0.029417329
Round took 0.026943864
Round took 0.062905574
Round took 0.031113495
Round took 0.073891428
Round took 0.043215339
Round took 0.045640561
Round took 0.060263031
Round took 0.034444294
Round took 0.035721535
Round took 0.031039077
Round took 0.03098502
Round took 0.03304531
Round took 0.058964129
Round took 0.030712882
Round took 0.038931027
Round took 0.031654839
Round took 0.029564869
Round took 0.027787137
Round took 0.034045622
Round took 0.035901405
Round took 0.033565715
Round took 0.027511829
Round took 0.03746455
Round took 0.037228908
Round took 0.052513074
Round took 0.027752242
Round took 0.039382081
Round took 0.028318675
Round took 0.033951622
Round took 0.028948305
Round took 0.040798743
Round took 0.035729388
Round took 0.039151632
Round took 0.049908384
Round took 0.030647011
Round took 0.035971414
Round took 0.040340092
Round took 0.03357114
Round took 0.031693438
Round took 0.033539711
Round took 0.053419488
Round took 0.034751015
Round took 0.040207218
Round took 0.039216385
Round took 0.039830353
Round took 0.02973432
Round took 0.046378297
Round took 0.038271236
Round took 0.044148082
Round took 0.036123203
Round took 0.027507849
Round took 0.035623034
Round took 0.079475035
Round took 0.017486346
Round took 0.01325792
Round took 0.017338942
Round took 0.035770761
Round took 0.030657276
Round took 0.038200616
Round took 0.031078011
Round took 0.062657121
Round took 0.047547645
Round took 0.031017301
Round took 0.041070283
Round took 0.032198372
Round took 0.045529426
Round took 0.032379674
Round took 0.049195181
Round took 0.017989753
Round took 0.008775797
Round took 0.028142478
Round took 0.037256264
Round took 0.03371924
Round took 0.029066572
Round took 0.050688302
Round took 0.018994892
Round took 0.016122404
Round took 0.007621736
Round took 0.01945345
Round took 0.012518606
Round took 0.015668156
Round took 0.005367001
Round took 0.006858987
Round took 0.011563855
Round took 0.021058166
Round took 0.017264852
Round took 0.014717698
Round took 0.013893213
Round took 0.01673309
Round took 0.009939768
Round took 0.011586154
Round took 0.022314891
Round took 0.018278927
Round took 0.023293845
Round took 0.007360825
Round took 0.015228537
Round took 0.008744913
Round took 0.022831686
Round took 0.012386473
Round took 0.019789685
Round took 0.019837103
Round took 0.016409837
Round took 0.00980746
Round took 0.011272969
Round took 0.007172563
Round took 0.007837098
Round took 0.013648641
Round took 0.018106062
Round took 0.022411867
Round took 0.007137911
Round took 0.017710947
Round took 0.022003066
Round took 0.016225999
Round took 0.011432963
Round took 0.013270891
Round took 0.015065338
Round took 0.009264535
Round took 0.008247157
Round took 0.018714957
Round took 0.02738915
Round took 0.006120389
Round took 0.015589132
Round took 0.022443031
Round took 0.016718393
Round took 0.014381115
Round took 0.028026725
Round took 0.034175806
Round took 0.02848705
Round took 0.06475676
Round took 0.045112058
Round took 0.049897981
Round took 0.007871641
Round took 0.089793179
Round took 0.008185922
Round took 0.011738717
Round took 0.01697221
Round took 0.017036413
Round took 0.017807384
Round took 0.007255642
Round took 0.016604207
Round took 0.016341784
Round took 0.007684228
Round took 0.012371356
Round took 0.015307915
Round took 0.013001297
Round took 0.004026329
Round took 0.004736822
Round took 0.00499953
Round took 0.004965198
Round took 0.01045682
Round took 0.008710015
Round took 0.012722818
Round took 0.016262745
Round took 0.013724356
Round took 0.017153456
Round took 0.020419428
Round took 0.043781448
Round took 0.041724208
Round took 0.07116281
Round took 0.055803499
Round took 0.034314619
Round took 0.030016585
Round took 0.041290638
Round took 0.045274916
Round took 0.056140278
Round took 0.057215141
Round took 0.032109205
Round took 0.046395764
Round took 0.036295923
Round took 0.059963072
Round took 0.014491711
Round took 0.010136088
Round took 0.017479392
Round took 0.024337777
Round took 0.046355894
Round took 0.035085682
Round took 0.042521787
