Uniform distribution
Round took 0.002445824
Round took 0.002419575
Round took 0.011907874
Round took 0.005461296
Round took 0.007364771
Round took 0.006578517
Round took 0.008255158
Round took 0.004563763
Round took 0.004757154
Round took 0.007511028
Round took 0.003277328
Round took 0.00705828
Round took 0.007141173
Round took 0.003669848
Round took 0.00249023
Round took 0.003737959
Round took 0.006694249
Round took 0.00270638
Round took 0.003144686
Round took 0.002975089
Round took 0.00735404
Round took 0.004619505
Round took 0.005631007
Round took 0.00353057
Round took 0.00582623
Round took 0.006816324
Round took 0.003844724
Round took 0.004926176
Round took 0.006293669
Round took 0.00348087
Round took 0.004901606
Round took 0.004289966
Round took 0.003636057
Round took 0.015741148
Round took 0.004578402
Round took 0.006184159
Round took 0.002322217
Round took 0.007879592
Round took 0.008688544
Round took 0.00579337
Round took 0.00519785
Round took 0.006617631
Round took 0.014540163
Round took 0.014572249
Round took 0.007907353
Round took 0.005126345
Round took 0.007666116
Round took 0.008652909
Round took 0.005572099
Round took 0.006049915
Round took 0.008082329
Round took 0.005337688
Round took 0.021231373
Round took 0.007356399
Round took 0.0047527
Round took 0.006383048
Round took 0.01808816
Round took 0.00867999
Round took 0.006323486
Round took 0.007627491
Round took 0.005729475
Round took 0.006660605
Round took 0.009184512
Round took 0.008035957
Round took 0.009330667
Round took 0.006845093
Round took 0.005872204
Round took 0.006750067
Round took 0.006409998
Round took 0.006122543
Round took 0.005984689
Round took 0.010413657
Round took 0.0062551
Round took 0.007073952
Round took 0.009202628
Round took 0.010484473
Round took 0.008390863
Round took 0.008871891
Round took 0.008162344
Round took 0.006756265
Round took 0.007561549
Round took 0.008065509
Round took 0.009265238
Round took 0.008682017
Round took 0.008421464
Round took 0.007345005
Round took 0.007559531
Round took 0.007465746
Round took 0.007704291
Round took 0.008338507
Round took 0.009764901
Round took 0.006699488
Round took 0.01003132
Round took 0.007332179
Round took 0.010012914
Round took 0.011486473
Round took 0.011127922
Round took 0.008753299
Round took 0.009193769
Round took 0.007094471
Round took 0.008231365
Round took 0.009197098
Round took 0.007252421
Round took 0.006184111
Round took 0.011520843
Round took 0.008810464
Round took 0.008772588
Round took 0.008071933
Round took 0.010520403
Round took 0.012382867
Round took 0.004954817
Round took 0.008378289
Round took 0.007101454
Round took 0.009117296
Round took 0.0094094
Round took 0.014437568
Round took 0.009286805
Round took 0.009798407
Round took 0.008979312
Round took 0.009512386
Round took 0.010263261
Round took 0.009860914
Round took 0.010686425
Round took 0.01061068
Round took 0.008502265
Round took 0.008732734
Round took 0.010328408
Round took 0.005316335
Round took 0.007115765
Round took 0.007900693
Round took 0.007960416
Round took 0.011222961
Round took 0.00666289
Round took 0.008540611
Round took 0.008141265
Round took 0.008978916
Round took 0.010820913
Round took 0.010621409
Round took 0.010799481
Round took 0.011458959
Round took 0.008572489
Round took 0.007944863
Round took 0.007996337
Round took 0.01019902
Round took 0.008269901
Round took 0.009332366
Round took 0.010479578
Round took 0.011447659
Round took 0.009678966
Round took 0.008039615
Round took 0.007218466
Round took 0.007790603
Round took 0.00808138
Round took 0.008415846
Round took 0.006799534
Round took 0.007042246
