Uniform distribution
Round took 0.001771614
Round took 0.086819607
Round took 0.041227889
Round took 0.001304433
Round took 0.040598542
Round took 0.038073277
Round took 0.151862385
Round took 0.042816262
Round took 0.001076462
Round took 0.001645382
Round took 0.079918811
Round took 0.001108619
Round took 0.004782731
Round took 0.045286592
Round took 0.040246146
Round took 0.044839637
Round took 0.082065142
Round took 0.001669576
Round took 0.07895039
Round took 0.045138635
Round took 0.038769694
Round took 0.001508667
Round took 0.056986171
Round took 0.121896087
Round took 0.038612048
Round took 0.079523114
Round took 0.002379095
Round took 0.039025381
Round took 0.03932694
Round took 0.074656911
Round took 0.040171413
Round took 0.079644406
Round took 0.079516088
Round took 0.039271737
Round took 0.10188468
Round took 0.042123241
Round took 0.043525328
Round took 0.043481377
Round took 0.128986349
Round took 0.051416136
Round took 0.04385458
Round took 0.082468578
Round took 0.043348524
Round took 0.048340492
Round took 0.002971801
Round took 0.041602795
Round took 0.004798356
Round took 0.001338749
Round took 0.001416676
Round took 0.087458385
Round took 0.057839573
Round took 0.003287764
Round took 0.060509579
Round took 0.092174182
Round took 0.040487798
Round took 0.001140337
Round took 0.043129125
Round took 0.001131225
Round took 0.002731386
Round took 0.047836278
Round took 0.001567988
Round took 0.045604689
Round took 0.097004378
Round took 0.094160836
Round took 0.048798649
Round took 0.046712517
Round took 0.003436648
Round took 0.046627039
Round took 0.001301263
Round took 0.04735288
Round took 0.079621736
Round took 0.050389937
Round took 0.148489151
Round took 0.041648209
Round took 0.006092493
Round took 0.051561496
Round took 0.089615199
Round took 0.040786993
Round took 0.039526787
Round took 0.043902198
Round took 0.045539131
Round took 0.005705295
Round took 0.161490733
Round took 0.075509024
Round took 0.001447017
Round took 0.00271716
Round took 0.043094718
Round took 0.162272602
Round took 0.121713926
Round took 0.001277698
Round took 0.075000949
Round took 0.074916638
Round took 0.001307214
Round took 0.077312043
Round took 0.04359603
Round took 0.00107003
Round took 0.003592544
Round took 0.041202533
Round took 0.086776612
Round took 0.046593333
Round took 0.002250643
Round took 0.043953013
Round took 0.001106513
Round took 0.003122345
Round took 0.003400802
Round took 0.003708778
Round took 0.003032815
Round took 0.050041846
Round took 0.134832989
Round took 0.039524852
Round took 0.001690936
Round took 0.003110422
Round took 0.003021038
Round took 0.086809096
Round took 0.139176997
Round took 0.082421218
Round took 0.047536191
Round took 0.043260628
Round took 0.00379135
Round took 0.001393864
Round took 0.047805628
Round took 0.042989146
Round took 0.044084504
Round took 0.001684361
Round took 0.089777237
Round took 0.089896755
Round took 0.048517507
Round took 0.091031875
Round took 0.045527718
Round took 0.001278884
Round took 0.003158301
Round took 0.001357561
Round took 0.0031864
Round took 0.001638709
Round took 0.045440983
Round took 0.042689343
Round took 0.002255046
Round took 0.046865832
Round took 0.005252569
Round took 0.052569427
Round took 0.054301217
Round took 0.042656126
Round took 0.001648684
Round took 0.084978972
Round took 0.050022313
Round took 0.088241261
Round took 0.038130316
Round took 0.038343522
Round took 0.002065685
Round took 0.001684061
Round took 0.042802834
Round took 0.001049505
Round took 0.083260499
Round took 0.041905917
Round took 0.161164086
Round took 0.07854479
Round took 0.097899171
Round took 0.037906534
Round took 0.077911798
Round took 0.035774958
Round took 0.001475931
Round took 0.001110377
Round took 0.003087618
Round took 0.042945776
Round took 0.038006812
Round took 0.077593689
Round took 0.040980517
Round took 0.041013721
Round took 0.00110071
Round took 0.001164683
Round took 0.040051916
Round took 0.001377577
Round took 0.038483771
Round took 0.001868194
Round took 0.041225697
Round took 0.077344409
Round took 0.038404358
Round took 0.080387685
Round took 0.088755336
Round took 0.03728779
Round took 0.118821225
Round took 0.046270537
Round took 0.04116242
Round took 0.085182311
Round took 0.001713679
Round took 0.046809485
Round took 0.003915001
Round took 0.003777941
Round took 0.037996144
Round took 0.040043639
Round took 0.00099508
Round took 0.078902154
Round took 0.042164868
Round took 0.041218314
Round took 0.042294031
Round took 0.059615976
Round took 0.110635729
Round took 0.038171764
Round took 0.040744422
Round took 0.001061576
Round took 0.041043461
Round took 0.000940457
Round took 0.002701305
Round took 0.003772736
Round took 0.002428662
Round took 0.083693889
Round took 0.085773882
Round took 0.001915198
Round took 0.038001481
Round took 0.038994979
Round took 0.037116233
Round took 0.000991843
Round took 0.04137176
Round took 0.038777343
Round took 0.039899877
Round took 0.040016235
Round took 0.044558587
Round took 0.082954632
Round took 0.039083446
Round took 0.082705282
Round took 0.044758789
Round took 0.078193462
Round took 0.042826822
Round took 0.000927748
Round took 0.039927968
Round took 0.002974474
Round took 0.038013232
Round took 0.038548197
Round took 0.001029694
Round took 0.078077438
Round took 0.043431402
Round took 0.081144082
Round took 0.077891554
Round took 0.043124822
Round took 0.001007999
Round took 0.043698833
Round took 0.038135527
Round took 0.043117709
Round took 0.046920509
Round took 0.001068912
Round took 0.044372243
Round took 0.000998355
Round took 0.043900011
Round took 0.044968154
Round took 0.001207002
Round took 0.087515125
Round took 0.110589082
Round took 0.044593781
Round took 0.038697591
Round took 0.082562715
Round took 0.038146106
Round took 0.078529667
Round took 0.042261541
Round took 0.048656203
Round took 0.001326982
Round took 0.001958801
Round took 0.037948712
Round took 0.046032014
Round took 0.042571533
Round took 0.039777471
Round took 0.124856998
Round took 0.044597053
Round took 0.044993027
Round took 0.12973088
Round took 0.043240258
Round took 0.046350559
Round took 0.045139941
Round took 0.045142623
Round took 0.097503162
Round took 0.063876961
Round took 0.046640851
Round took 0.042463939
Round took 0.079304927
Round took 0.086190889
Round took 0.04516582
Round took 0.041366393
Round took 0.043547368
Round took 0.001386282
Round took 0.001523793
Round took 0.08631179
Round took 0.040045348
Round took 0.002300708
Round took 0.04437315
Round took 0.044894312
Round took 0.001204724
Round took 0.002793788
Round took 0.04150124
Round took 0.053810011
Round took 0.080887787
Round took 0.040803106
Round took 0.037419923
Round took 0.037660477
Round took 0.001029144
Round took 0.044137321
Round took 0.001146568
Round took 0.004605078
Round took 0.135622852
Round took 0.087823131
Round took 0.001582531
Round took 0.0008821
Round took 0.002503536
Round took 0.04849978
Round took 0.042717694
Round took 0.001036848
Round took 0.003158847
Round took 0.040674151
Round took 0.041840911
Round took 0.000960867
Round took 0.042608836
Round took 0.042661414
Round took 0.085967547
Round took 0.096123938
Round took 0.071473616
Round took 0.002711514
Round took 0.041891292
Round took 0.043662826
Round took 0.041075008
Round took 0.042931062
Round took 0.037985955
Round took 0.042468806
Round took 0.082708064
Round took 0.12051705
Round took 0.039785424
Round took 0.045690423
Round took 0.042529034
Round took 0.001127202
Round took 0.080730991
Round took 0.053206497
Round took 0.04361417
Round took 0.034311856
Round took 0.001942289
Round took 0.040138761
Round took 0.001578011
Round took 0.119383111
Round took 0.116927548
Round took 0.080571459
Round took 0.045068517
Round took 0.001337005
Round took 0.047002313
Round took 0.124645901
Round took 0.045910256
Round took 0.001024992
Round took 0.081478192
Round took 0.084364599
Round took 0.004532289
Round took 0.002899125
Round took 0.052398615
Round took 0.001200749
Round took 0.050154789
Round took 0.001537267
Round took 0.044356272
Round took 0.001222621
Round took 0.048918333
Round took 0.002577193
Round took 0.044461177
Round took 0.04844453
Round took 0.004665105
Round took 0.003963804
Round took 0.085663708
Round took 0.046066187
Round took 0.003402525
Round took 0.092934845
Round took 0.00185352
Round took 0.044236795
Round took 0.00160236
Round took 0.00148709
Round took 0.043616353
Round took 0.048620228
Round took 0.001088516
Round took 0.004248979
Round took 0.003239996
Round took 0.097279763
Round took 0.001314646
Round took 0.003229485
Round took 0.042706375
Round took 0.001176416
Round took 0.002349754
Round took 0.043686586
Round took 0.082122684
Round took 0.001884027
Round took 0.002218813
Round took 0.001909228
Round took 0.10611993
Round took 0.091082195
Round took 0.081320863
Round took 0.117376484
Round took 0.048006863
Round took 0.172719214
Round took 0.00197502
Round took 0.040742307
Round took 0.041306057
Round took 0.121514328
Round took 0.002067868
Round took 0.002670319
Round took 0.044212073
Round took 0.054583086
Round took 0.001085214
Round took 0.046453891
Round took 0.001434282
Round took 0.002333615
Round took 0.001223387
Round took 0.004231533
Round took 0.0054231
Round took 0.060327612
Round took 0.001118081
Round took 0.042691545
Round took 0.044669292
Round took 0.001933264
Round took 0.043752206
Round took 0.041597901
Round took 0.046295097
Round took 0.130001792
Round took 0.002363446
Round took 0.050957566
Round took 0.042370612
Round took 0.084099849
Round took 0.086949094
Round took 0.116654865
Round took 0.001192494
Round took 0.055191672
Round took 0.043467921
Round took 0.04317885
Round took 0.001108782
Round took 0.044867464
Round took 0.044653813
Round took 0.046522259
Round took 0.043840818
Round took 0.00179743
Round took 0.042755418
Round took 0.04816467
Round took 0.042621335
Round took 0.0013389
Round took 0.001189642
Round took 0.051030419
Round took 0.006579375
Round took 0.04010748
Round took 0.003181061
Round took 0.043826002
Round took 0.00104398
Round took 0.001351764
Round took 0.092010709
Round took 0.040184097
Round took 0.002154098
Round took 0.043538249
Round took 0.00365794
Round took 0.047198631
Round took 0.055274927
Round took 0.001283585
Round took 0.00136317
Round took 0.001016858
Round took 0.002704764
Round took 0.053142299
Round took 0.089649752
Round took 0.046962201
Round took 0.039288107
Round took 0.041290873
Round took 0.041705202
Round took 0.001315935
Round took 0.040939437
Round took 0.081012102
Round took 0.001188764
Round took 0.045958857
Round took 0.001134976
Round took 0.044897228
Round took 0.044406012
Round took 0.042802392
Round took 0.093708197
Round took 0.003928465
Round took 0.044372515
Round took 0.001161385
Round took 0.001825011
Round took 0.050616449
Round took 0.082777444
Round took 0.106682343
Round took 0.039995074
Round took 0.094708418
Round took 0.002321357
Round took 0.001057716
Round took 0.043129453
Round took 0.00137645
Round took 0.043217651
Round took 0.047392019
Round took 0.002185632
Round took 0.001693154
Round took 0.090945111
Round took 0.040048409
Round took 0.045273349
Round took 0.002585925
Round took 0.079711815
Round took 0.041856147
Round took 0.001513051
Round took 0.003658585
Round took 0.041157023
Round took 0.096270546
Round took 0.001501516
Round took 0.00107278
Round took 0.042958078
Round took 0.046046513
Round took 0.001236845
Round took 0.086223149
Round took 0.04348832
Round took 0.04002816
Round took 0.043200447
Round took 0.038962386
Round took 0.001081589
Round took 0.002412499
Round took 0.046644543
Round took 0.000973769
Round took 0.002993809
Round took 0.037608295
Round took 0.042516292
Round took 0.167429672
Round took 0.048518165
Round took 0.001365903
Round took 0.002495794
Round took 0.00371338
Round took 0.002636345
Round took 0.043090092
Round took 0.058482361
Round took 0.003761588
Round took 0.100402873
Round took 0.03924358
Round took 0.040924518
