Uniform distribution
Round took 0.037294435
Round took 0.005580283
Round took 0.018979141
Round took 0.009564696
Round took 0.010896166
Round took 0.073134451
Round took 0.063320645
Round took 0.10079512
Round took 0.094908039
Round took 0.005288277
Round took 0.00502414
Round took 0.067192411
Round took 0.036415345
Round took 0.1452459
Round took 0.08890217
Round took 0.118548264
Round took 0.060318795
Round took 0.062940367
Round took 0.031199771
Round took 0.030487229
Round took 0.034177114
Round took 0.034585691
Round took 0.005583874
Round took 0.059655724
Round took 0.033518514
Round took 0.088395467
Round took 0.072846628
Round took 0.040946233
Round took 0.026299392
Round took 0.059045038
Round took 0.06299843
Round took 0.002451925
Round took 0.088844485
Round took 0.060079394
Round took 0.03210309
Round took 0.055374695
Round took 0.058009555
Round took 0.003779257
Round took 0.062962197
Round took 0.033891414
Round took 0.003559394
Round took 0.037107551
Round took 0.034741692
Round took 0.012843483
Round took 0.034866944
Round took 0.029052892
Round took 0.028618753
Round took 0.004236117
Round took 0.039328246
Round took 0.06092175
Round took 0.002680904
Round took 0.034315164
Round took 0.030761051
Round took 0.062904094
Round took 0.003828312
Round took 0.032691407
Round took 0.092161787
Round took 0.027828104
Round took 0.035706383
Round took 0.062972046
Round took 0.029690119
Round took 0.002683971
Round took 0.038020386
Round took 0.029722323
Round took 0.09171366
Round took 0.031965471
Round took 0.061414811
Round took 0.005138865
Round took 0.006187766
Round took 0.045959962
Round took 0.039971407
Round took 0.027862703
Round took 0.006588854
Round took 0.086174604
Round took 0.057569892
Round took 0.119829355
Round took 0.090256782
Round took 0.035982688
Round took 0.033843017
Round took 0.059438164
Round took 0.034118242
Round took 0.004039274
Round took 0.040745093
Round took 0.027638715
Round took 0.029487275
Round took 0.03159593
Round took 0.006054042
Round took 0.033117249
Round took 0.03360847
Round took 0.060890883
Round took 0.029579453
Round took 0.199620819
Round took 0.030165784
Round took 0.002558939
Round took 0.087391227
Round took 0.034269118
Round took 0.058634757
Round took 0.035102802
Round took 0.031631595
Round took 0.031332928
Round took 0.089492786
Round took 0.031701033
Round took 0.027552982
Round took 0.038544431
Round took 0.029468177
Round took 0.032050111
Round took 0.031012711
Round took 0.002040228
Round took 0.007678141
Round took 0.030227694
Round took 0.033720663
Round took 0.057265517
Round took 0.033827948
Round took 0.032291595
Round took 0.001879908
Round took 0.004553702
Round took 0.106690707
Round took 0.115692996
Round took 0.062111464
Round took 0.059394353
Round took 0.030477173
Round took 0.028738446
Round took 0.065767812
Round took 0.007097236
Round took 0.09518339
Round took 0.059965348
Round took 0.03098249
Round took 0.026286692
Round took 0.065150521
Round took 0.027232243
Round took 0.033891926
Round took 0.034135791
Round took 0.002744796
Round took 0.008236535
Round took 0.037055278
Round took 0.1147048
Round took 0.03096695
Round took 0.003342284
Round took 0.063672677
Round took 0.030715946
Round took 0.031219558
Round took 0.030797663
Round took 0.031080039
Round took 0.065417515
Round took 0.066037267
Round took 0.006137312
Round took 0.081102402
Round took 0.033966081
Round took 0.032150496
Round took 0.033811248
Round took 0.002847109
Round took 0.363119846
Round took 0.044241181
Round took 0.038456232
Round took 0.057840817
Round took 0.001236128
Round took 0.028448229
Round took 0.060604736
Round took 0.059835918
Round took 0.005029939
Round took 0.005026528
Round took 0.030216458
Round took 0.035151072
Round took 0.091336753
Round took 0.030780275
Round took 0.066326173
Round took 0.029406009
Round took 0.06577953
Round took 0.036207383
Round took 0.058492903
Round took 0.033111765
Round took 0.034254616
Round took 0.030518334
Round took 0.041980148
Round took 0.03964984
Round took 0.002520257
Round took 0.036425313
Round took 0.063540121
Round took 0.030106242
Round took 0.08550836
Round took 0.091686934
Round took 0.033981119
Round took 0.005329935
Round took 0.089078776
Round took 0.002139147
Round took 0.006464255
Round took 0.063959196
Round took 0.116653698
Round took 0.086574866
Round took 0.03539612
Round took 0.060906539
Round took 0.031893527
Round took 0.03440615
Round took 0.106894562
Round took 0.030152302
Round took 0.06057746
Round took 0.032771039
Round took 0.0572569
Round took 0.034833301
Round took 0.061705842
Round took 0.088904455
Round took 0.032860849
Round took 0.030670135
Round took 0.059667385
Round took 0.059322597
Round took 0.055278779
Round took 0.060980984
Round took 0.039276087
Round took 0.050664905
Round took 0.060333027
Round took 0.006566856
Round took 0.035564704
Round took 0.005255485
Round took 0.036087848
Round took 0.058004649
Round took 0.006507095
Round took 0.032459332
Round took 0.065074772
Round took 0.118301528
Round took 0.030698603
Round took 0.029044288
Round took 0.032990881
Round took 0.005561919
Round took 0.062162971
Round took 0.004103295
Round took 0.05776367
Round took 0.03277871
Round took 0.031730845
Round took 0.034837607
Round took 0.072883824
Round took 0.006151765
Round took 0.004681826
Round took 0.05906562
Round took 0.002412035
Round took 0.006140362
Round took 0.090598179
Round took 0.029958705
Round took 0.034228928
Round took 0.029758665
Round took 0.094671309
Round took 0.003376954
Round took 0.030132717
Round took 0.03184914
Round took 0.060277062
Round took 0.035122548
Round took 0.057686073
Round took 0.065070334
Round took 0.034401724
Round took 0.035850794
Round took 0.036313273
Round took 0.118884561
Round took 0.071917831
Round took 0.001702313
Round took 0.070627412
Round took 0.005644138
Round took 0.034045145
Round took 0.064448067
Round took 0.060712627
Round took 0.053634679
Round took 0.004985864
Round took 0.033917662
Round took 0.030612738
Round took 0.036254034
Round took 0.032128537
Round took 0.061737003
Round took 0.062679186
Round took 0.035441424
Round took 0.031299035
Round took 0.041141177
Round took 0.040419891
Round took 0.163693086
Round took 0.031665534
Round took 0.030183235
Round took 0.003509692
Round took 0.064232669
Round took 0.032179188
Round took 0.062794954
Round took 0.034459115
Round took 0.09126725
Round took 0.034920231
Round took 0.031718764
Round took 0.032749694
Round took 0.06188694
Round took 0.061729557
Round took 0.059236023
Round took 0.059206236
Round took 0.059447346
Round took 0.034317332
Round took 0.035729411
Round took 0.081352598
Round took 0.03241609
Round took 0.081812814
Round took 0.032075542
Round took 0.061901776
Round took 0.034687245
Round took 0.033995488
Round took 0.030191855
Round took 0.002210413
Round took 0.065615124
Round took 0.063262836
Round took 0.059298034
Round took 0.034070934
Round took 0.031627883
Round took 0.095571559
Round took 0.00767829
Round took 0.031937683
Round took 0.05615751
Round took 0.002383881
Round took 0.028979092
Round took 0.060817619
Round took 0.032009502
Round took 0.086817234
Round took 0.117308313
Round took 0.034092445
Round took 0.09088076
Round took 0.060868316
Round took 0.033283702
Round took 0.122129041
Round took 0.036453278
Round took 0.093372899
Round took 0.004728684
Round took 0.003861365
Round took 0.039292692
Round took 0.03120343
Round took 0.040004555
Round took 0.085909845
Round took 0.089702731
Round took 0.003420505
Round took 0.02944775
Round took 0.093688357
Round took 0.088366486
Round took 0.035166414
Round took 0.032193872
Round took 0.032380954
Round took 0.059822778
Round took 0.032775078
Round took 0.0300049
Round took 0.061827359
Round took 0.02692884
Round took 0.116260544
Round took 0.029380702
Round took 0.042591721
Round took 0.065570607
Round took 0.011778773
Round took 0.044370124
Round took 0.033091156
Round took 0.034172728
Round took 0.0331363
Round took 0.030599177
Round took 0.122844331
Round took 0.038377325
Round took 0.034587995
Round took 0.035952961
Round took 0.117841418
Round took 0.002568015
Round took 0.035577272
Round took 0.059121318
Round took 0.059719356
Round took 0.035774179
Round took 0.034664307
Round took 0.058149509
Round took 0.039306659
Round took 0.043889111
Round took 0.055188968
Round took 0.060276173
Round took 0.061910234
Round took 0.056424669
Round took 0.126092142
Round took 0.088838937
Round took 0.088587707
Round took 0.030351516
Round took 0.033661869
Round took 0.006184919
Round took 0.036677209
Round took 0.091759192
Round took 0.005821097
Round took 0.031485666
Round took 0.135820335
Round took 0.025847172
Round took 0.036522525
Round took 0.006069028
Round took 0.001922977
Round took 0.037558448
Round took 0.003536175
Round took 0.005710016
Round took 0.001838637
Round took 0.037100361
Round took 0.029442929
Round took 0.031196101
Round took 0.003114933
Round took 0.006479319
Round took 0.029614376
Round took 0.001542951
Round took 0.033654813
Round took 0.029002981
Round took 0.034085773
Round took 0.003780552
Round took 0.034552365
Round took 0.028572136
Round took 0.031281696
Round took 0.026287168
Round took 0.028271984
Round took 0.032591598
Round took 0.033068947
Round took 0.05549039
Round took 0.031929451
Round took 0.030975773
Round took 0.032339038
Round took 0.033665789
Round took 0.141861296
Round took 0.061030397
Round took 0.00484721
Round took 0.091923788
Round took 0.066579723
Round took 0.062854732
Round took 0.062038749
Round took 0.095307729
Round took 0.148640059
Round took 0.092085012
Round took 0.034393399
Round took 0.028487206
Round took 0.039138029
Round took 0.037192569
Round took 0.104131845
Round took 0.063971814
Round took 0.086827652
Round took 0.028369492
Round took 0.034798237
Round took 0.006819624
Round took 0.03169282
Round took 0.061451972
Round took 0.005762497
Round took 0.038585017
Round took 0.092120349
Round took 0.036982835
Round took 0.060200428
Round took 0.03435539
Round took 0.057943365
Round took 0.127635434
Round took 0.044538351
Round took 0.033551199
Round took 0.093915815
Round took 0.089215357
Round took 0.062785008
Round took 0.063134625
Round took 0.059649045
Round took 0.12005032
Round took 0.097677297
Round took 0.002843958
Round took 0.034769422
Round took 0.029998175
Round took 0.03406403
Round took 0.076339534
Round took 0.044623925
Round took 0.034771013
Round took 0.040141349
Round took 0.031808564
Round took 0.064147147
Round took 0.113561597
Round took 0.089866585
Round took 0.152347533
Round took 0.117640528
Round took 0.063010745
Round took 0.034533679
Round took 0.060493877
Round took 0.00500557
Round took 0.059774576
Round took 0.061617846
Round took 0.031236468
Round took 0.065852069
Round took 0.039719443
Round took 0.060292859
Round took 0.093037076
Round took 0.00546277
Round took 0.032920277
Round took 0.031404055
Round took 0.004733273
Round took 0.038232447
Round took 0.034605256
Round took 0.063040512
Round took 0.034250752
Round took 0.041832838
Round took 0.033061702
Round took 0.12758394
Round took 0.02826596
Round took 0.032364273
Round took 0.03485962
Round took 0.037474518
Round took 0.066207727
Round took 0.033474789
Round took 0.043249789
Round took 0.148711748
Round took 0.034033547
Round took 0.001997526
Round took 0.006267802
Round took 0.036265672
Round took 0.03332407
Round took 0.056020096
Round took 0.034326802
Round took 0.00183712
Round took 0.007499343
Round took 0.031557598
Round took 0.035924688
Round took 0.03576372
Round took 0.060599395
Round took 0.034720053
Round took 0.031278558
Round took 0.03472317
Round took 0.063990769
Round took 0.006365519
Round took 0.065854831
Round took 0.033175764
Round took 0.033604078
Round took 0.060367134
Round took 0.030803802
Round took 0.036403323
Round took 0.045868009
Round took 0.035375862
Round took 0.035834598
Round took 0.033899943
Round took 0.08671618
Round took 0.115981657
Round took 0.034455243
Round took 0.0953248
Round took 0.063850274
Round took 0.058447457
Round took 0.031702768
Round took 0.04119245
Round took 0.063483985
Round took 0.090179605
Round took 0.027959888
Round took 0.12785536
Round took 0.062190426
Round took 0.033390561
Round took 0.03634558
Round took 0.062045691
Round took 0.043225137
Round took 0.035087447
Round took 0.032698918
Round took 0.034451233
Round took 0.031704304
Round took 0.029930499
Round took 0.090921919
Round took 0.036013838
Round took 0.031611019
Round took 0.005246203
Round took 0.029627183
Round took 0.034564156
Round took 0.02936785
Round took 0.032073226
Round took 0.031505523
Round took 0.030841211
Round took 0.007060987
Round took 0.064617763
Round took 0.007753229
Round took 0.008332948
Round took 0.042815667
Round took 0.041947903
Round took 0.003125974
Round took 0.040663247
Round took 0.073267978
Round took 0.004459114
Round took 0.036118165
Round took 0.062279261
Round took 0.027232284
Round took 0.007224908
Round took 0.033655053
Round took 0.094423327
Round took 0.001653994
Round took 0.037330068
Round took 0.034742099
Round took 0.033436467
Round took 0.036787339
Round took 0.03484608
Round took 0.02865705
Round took 0.088088026
Round took 0.031196067
Round took 0.064953232
Round took 0.035085741
Round took 0.025338055
Round took 0.034109665
Round took 0.061928298
Round took 0.096386249
Round took 0.043163065
Round took 0.068380503
Round took 0.03655899
Round took 0.028566697
Round took 0.034919805
Round took 0.004244629
Round took 0.035719385
Round took 0.033088684
Round took 0.006896441
Round took 0.033866
Round took 0.006382384
Round took 0.00558083
Round took 0.006327152
Round took 0.034385618
Round took 0.089943046
Round took 0.034018894
Round took 0.072270697
Round took 0.03542758
Round took 0.058633554
Round took 0.057586913
Round took 0.033831037
Round took 0.00654517
Round took 0.031228611
Round took 0.062926593
Round took 0.100249449
Round took 0.070468166
Round took 0.00269313
Round took 0.034710212
Round took 0.005405605
Round took 0.007434427
Round took 0.029329135
Round took 0.004686796
Round took 0.006438621
Round took 0.030651481
Round took 0.029540472
Round took 0.0292738
Round took 0.004014737
Round took 0.036855539
Round took 0.030987942
Round took 0.057485014
Round took 0.038588
Round took 0.06243797
