Uniform distribution
Round took 0.010081984
Round took 0.014110964
Round took 0.011195053
Round took 0.014132568
Round took 0.007773442
Round took 0.009959519
Round took 0.010700393
Round took 0.009258256
Round took 0.012113081
Round took 0.007195144
Round took 0.011701798
Round took 0.015249032
Round took 0.011751763
Round took 0.007728045
Round took 0.009282227
Round took 0.009444053
Round took 0.010838953
Round took 0.011570707
Round took 0.011839501
Round took 0.008427795
Round took 0.008161646
Round took 0.018998471
Round took 0.008405038
Round took 0.009709805
Round took 0.011130049
Round took 0.00657304
Round took 0.023444834
Round took 0.028120845
Round took 0.018322676
Round took 0.018155931
Round took 0.016009421
Round took 0.021928856
Round took 0.011377811
Round took 0.0201961
Round took 0.01803142
Round took 0.013051413
Round took 0.016598747
Round took 0.020024808
Round took 0.01274684
Round took 0.010572281
Round took 0.02266515
Round took 0.017845333
Round took 0.024200952
Round took 0.02903959
Round took 0.029555573
Round took 0.019197603
Round took 0.034834054
Round took 0.013055936
Round took 0.01334538
Round took 0.015243132
Round took 0.017797052
Round took 0.020941013
Round took 0.013329645
Round took 0.030232511
Round took 0.013181789
Round took 0.030395646
Round took 0.015317974
Round took 0.01582849
Round took 0.018038827
Round took 0.018130862
Round took 0.021908771
Round took 0.018585615
Round took 0.024352273
Round took 0.024153912
Round took 0.027385675
Round took 0.033618032
Round took 0.013226562
Round took 0.029069656
Round took 0.017867842
Round took 0.025754619
Round took 0.020503282
Round took 0.021663487
Round took 0.047895732
Round took 0.023576756
Round took 0.026371021
Round took 0.032937481
Round took 0.024631387
Round took 0.02308676
Round took 0.027673721
Round took 0.03488675
Round took 0.027480776
Round took 0.029005346
Round took 0.027962568
Round took 0.029847211
Round took 0.024851958
Round took 0.036937395
Round took 0.021747971
Round took 0.028537113
Round took 0.029136134
Round took 0.02991308
Round took 0.029313307
Round took 0.025016417
Round took 0.028199233
Round took 0.031125778
Round took 0.03248528
Round took 0.019548203
Round took 0.027838498
Round took 0.02599991
Round took 0.032569778
Round took 0.018437791
Round took 0.026691195
Round took 0.020088782
Round took 0.015274697
Round took 0.014978288
Round took 0.014503858
Round took 0.018360119
Round took 0.031688507
Round took 0.023952536
Round took 0.02172395
Round took 0.024799652
Round took 0.025768272
Round took 0.026671427
Round took 0.024390637
Round took 0.02578441
Round took 0.02377983
Round took 0.028817102
Round took 0.038287778
Round took 0.019775973
Round took 0.021695866
Round took 0.03983131
Round took 0.027179345
Round took 0.022914144
Round took 0.025576218
Round took 0.028171351
Round took 0.028419099
Round took 0.029319354
Round took 0.025543045
Round took 0.024888223
Round took 0.023159916
Round took 0.026111627
Round took 0.022452588
Round took 0.027640705
Round took 0.029022421
Round took 0.026190574
Round took 0.028862247
Round took 0.023163243
Round took 0.030222079
Round took 0.021260543
Round took 0.04502752
Round took 0.030569687
Round took 0.023939318
Round took 0.029511779
Round took 0.027387773
Round took 0.02352272
Round took 0.035113991
Round took 0.034184668
Round took 0.033260361
Round took 0.020766782
Round took 0.023186747
Round took 0.031535917
Round took 0.024106819
Round took 0.026591697
Round took 0.025635161
Round took 0.027106679
Round took 0.02900152
Round took 0.039559691
Round took 0.027276687
Round took 0.022207086
Round took 0.024689416
Round took 0.024390801
Round took 0.02417053
Round took 0.024716039
Round took 0.030011289
Round took 0.027662391
Round took 0.02482982
Round took 0.027079009
Round took 0.036290381
Round took 0.021224678
Round took 0.022330556
Round took 0.023693696
Round took 0.024276136
Round took 0.031231783
Round took 0.026394434
Round took 0.023753467
Round took 0.02452495
Round took 0.028442159
Round took 0.025472495
Round took 0.030662686
Round took 0.02321903
Round took 0.026112812
Round took 0.02820344
Round took 0.024451553
Round took 0.02629896
Round took 0.03662247
Round took 0.022708924
Round took 0.017093207
Round took 0.018843417
Round took 0.027199105
Round took 0.024103238
Round took 0.030572813
Round took 0.031074029
Round took 0.0255651
Round took 0.032549663
Round took 0.031220626
Round took 0.028169885
Round took 0.03328285
Round took 0.026288549
Round took 0.030115725
Round took 0.029859895
Round took 0.029627738
Round took 0.03139459
Round took 0.028300942
Round took 0.033067476
Round took 0.029833447
Round took 0.031379388
Round took 0.032387581
Round took 0.031819046
Round took 0.031518456
Round took 0.023391941
Round took 0.031890356
Round took 0.03515033
Round took 0.026556179
Round took 0.029935276
Round took 0.030907264
Round took 0.026612805
Round took 0.025976194
Round took 0.033527609
Round took 0.025417856
Round took 0.025262941
Round took 0.026145648
Round took 0.036818692
Round took 0.024430088
Round took 0.033923888
Round took 0.025087223
Round took 0.027891138
Round took 0.027359286
Round took 0.027923659
Round took 0.029652846
Round took 0.030112624
Round took 0.031976116
Round took 0.029127965
Round took 0.030377556
Round took 0.034524701
Round took 0.027688998
Round took 0.027787524
Round took 0.026749772
Round took 0.025325369
Round took 0.026485572
Round took 0.035922598
Round took 0.022050252
Round took 0.028752038
Round took 0.027416883
Round took 0.02507966
Round took 0.031354903
Round took 0.026620562
Round took 0.026203842
Round took 0.030763445
Round took 0.032393507
Round took 0.031055018
Round took 0.029726806
Round took 0.025086715
Round took 0.030422256
Round took 0.030299437
Round took 0.035468892
Round took 0.023217498
Round took 0.033422611
Round took 0.028562273
Round took 0.029464688
Round took 0.028010737
Round took 0.031093351
Round took 0.033368758
Round took 0.028740657
Round took 0.029431261
Round took 0.041442012
Round took 0.028280957
Round took 0.029412372
Round took 0.027145804
Round took 0.032209414
Round took 0.029818303
Round took 0.030754413
Round took 0.027076614
Round took 0.03001913
Round took 0.030759768
Round took 0.03048551
Round took 0.023526121
Round took 0.029874608
Round took 0.029370929
Round took 0.024387872
Round took 0.029055695
Round took 0.0257838
Round took 0.025827492
Round took 0.028769487
Round took 0.029201975
Round took 0.032335136
Round took 0.030618296
Round took 0.030023419
Round took 0.02705915
Round took 0.027895034
Round took 0.032366683
Round took 0.023260163
Round took 0.031473752
Round took 0.025918321
Round took 0.025540287
Round took 0.027348403
Round took 0.025761887
Round took 0.025004715
Round took 0.019259239
Round took 0.020269806
Round took 0.021832838
Round took 0.034750916
Round took 0.018228163
Round took 0.027101272
Round took 0.025172969
