Uniform distribution
Round took 0.013217689
Round took 0.016088137
Round took 0.013259653
Round took 0.021331008
Round took 0.018704276
Round took 0.015538384
Round took 0.014090067
Round took 0.015945205
Round took 0.020564753
Round took 0.01772493
Round took 0.015921082
Round took 0.016392205
Round took 0.018302345
Round took 0.020939338
Round took 0.023836481
Round took 0.045301313
Round took 0.052686655
Round took 0.022623984
Round took 0.018503013
Round took 0.018992269
Round took 0.022937982
Round took 0.020221078
Round took 0.021207069
Round took 0.024449041
Round took 0.025383524
Round took 0.016092291
Round took 0.020344085
Round took 0.022609309
Round took 0.016182549
Round took 0.012325659
Round took 0.017923876
Round took 0.022123759
Round took 0.021593977
Round took 0.022038076
Round took 0.013320212
Round took 0.021606104
Round took 0.014718535
Round took 0.023886644
Round took 0.01710101
Round took 0.019470909
Round took 0.012004033
Round took 0.018733955
Round took 0.016861225
Round took 0.015234228
Round took 0.0177343
Round took 0.016241197
Round took 0.022399642
Round took 0.020895727
Round took 0.028575484
Round took 0.012472238
Round took 0.01414739
Round took 0.016398784
Round took 0.01633438
Round took 0.020776321
Round took 0.015400037
Round took 0.023506738
Round took 0.018806998
Round took 0.025257525
Round took 0.021193121
Round took 0.017366491
Round took 0.014623666
Round took 0.017272337
Round took 0.016399162
Round took 0.016693614
Round took 0.017859032
Round took 0.021039223
Round took 0.017535772
Round took 0.011963372
Round took 0.013211007
Round took 0.016666981
Round took 0.016180662
Round took 0.017351611
Round took 0.022021359
Round took 0.019090806
Round took 0.016790878
Round took 0.019306051
Round took 0.015547748
Round took 0.016973166
Round took 0.016947414
Round took 0.014245241
Round took 0.017673442
Round took 0.014928312
Round took 0.019982518
Round took 0.021401404
Round took 0.022284931
Round took 0.020658336
Round took 0.01720241
Round took 0.015571662
Round took 0.018285624
Round took 0.02167219
Round took 0.023774286
Round took 0.022970707
Round took 0.016494172
Round took 0.018214965
Round took 0.017820291
Round took 0.01789446
Round took 0.02415443
Round took 0.017851338
Round took 0.015915784
Round took 0.017054434
Round took 0.020435728
Round took 0.017871928
Round took 0.01653016
Round took 0.01795761
Round took 0.01639438
Round took 0.021628973
Round took 0.019328057
Round took 0.019677088
Round took 0.01863886
Round took 0.020450807
Round took 0.019081435
Round took 0.018488464
Round took 0.015525323
Round took 0.020512532
Round took 0.018944531
Round took 0.018413801
Round took 0.018929288
Round took 0.018854823
Round took 0.016441034
Round took 0.018533769
Round took 0.017492705
Round took 0.018827245
Round took 0.0213517
Round took 0.016140068
Round took 0.019025211
Round took 0.015112345
Round took 0.014434386
Round took 0.030559511
Round took 0.020556889
Round took 0.019197963
Round took 0.013371587
Round took 0.015344775
Round took 0.017752707
Round took 0.016623785
Round took 0.028719242
