Uniform distribution
Round took 0.009925211
Round took 0.008018154
Round took 0.009881291
Round took 0.01248511
Round took 0.013003714
Round took 0.011331827
Round took 0.012658175
Round took 0.01788487
Round took 0.016379778
Round took 0.016670589
Round took 0.01275401
Round took 0.014545519
Round took 0.012307883
Round took 0.018075863
Round took 0.013800028
Round took 0.017068102
Round took 0.011300402
Round took 0.014673791
Round took 0.027580339
Round took 0.015314475
Round took 0.016695856
Round took 0.012965081
Round took 0.01829318
Round took 0.01590335
Round took 0.016392328
Round took 0.027570377
Round took 0.019742481
Round took 0.00824234
Round took 0.029101915
Round took 0.020897316
Round took 0.017036632
Round took 0.016024419
Round took 0.022382479
Round took 0.019578191
Round took 0.01544103
Round took 0.020278152
Round took 0.023553267
Round took 0.016453237
Round took 0.015529138
Round took 0.013896359
Round took 0.019375318
Round took 0.022939279
Round took 0.016906031
Round took 0.01478057
Round took 0.01897922
Round took 0.017188505
Round took 0.014563349
Round took 0.023890378
Round took 0.021085799
Round took 0.019111246
Round took 0.025380645
Round took 0.018421651
Round took 0.015364346
Round took 0.052662248
Round took 0.010132485
Round took 0.018866692
Round took 0.022241887
Round took 0.013442284
Round took 0.030001296
Round took 0.020219994
Round took 0.020639597
Round took 0.014827623
Round took 0.025142947
Round took 0.027517897
Round took 0.020239
Round took 0.023985056
Round took 0.03069695
Round took 0.01798804
Round took 0.035608059
Round took 0.021475228
Round took 0.01917793
Round took 0.020242169
Round took 0.016154809
Round took 0.023203668
Round took 0.018943162
Round took 0.013535092
Round took 0.01745325
Round took 0.023400352
Round took 0.021364859
Round took 0.02427146
Round took 0.025181188
Round took 0.02976671
Round took 0.020792083
Round took 0.018881292
Round took 0.024024196
Round took 0.016257334
Round took 0.017065732
Round took 0.012384541
Round took 0.022035689
Round took 0.017550531
Round took 0.011351874
Round took 0.015339846
Round took 0.020095127
Round took 0.016358976
Round took 0.020322767
Round took 0.016455794
Round took 0.021195878
Round took 0.021770676
Round took 0.014067166
Round took 0.02700228
Round took 0.014552449
Round took 0.019516482
Round took 0.014434216
Round took 0.027835022
Round took 0.018106398
Round took 0.018570262
Round took 0.025805964
Round took 0.032120079
Round took 0.032080788
Round took 0.022202383
Round took 0.026645036
Round took 0.013159135
Round took 0.012708296
Round took 0.030301764
Round took 0.011613762
Round took 0.025244976
Round took 0.025736518
Round took 0.02607182
Round took 0.015823738
Round took 0.027739357
Round took 0.011567347
Round took 0.014370626
Round took 0.015513786
Round took 0.023531539
Round took 0.019484522
Round took 0.015978581
Round took 0.018021157
Round took 0.019713439
Round took 0.010584793
Round took 0.013224464
Round took 0.01969761
Round took 0.017165803
Round took 0.013922799
Round took 0.013325223
Round took 0.015861491
Round took 0.026332872
Round took 0.019840273
Round took 0.020121899
Round took 0.020499145
Round took 0.015611542
Round took 0.015359659
Round took 0.017858509
Round took 0.013944665
Round took 0.024093313
Round took 0.018237267
Round took 0.017142872
Round took 0.044900734
Round took 0.015638234
Round took 0.021553423
Round took 0.020430118
Round took 0.020481315
Round took 0.026373442
Round took 0.015694928
Round took 0.014382231
Round took 0.020822204
Round took 0.026142238
Round took 0.019258377
Round took 0.022964271
Round took 0.01709808
Round took 0.017796703
Round took 0.025114536
Round took 0.021780667
Round took 0.017641422
Round took 0.021909472
Round took 0.020728327
Round took 0.026992924
Round took 0.016991184
Round took 0.022322942
Round took 0.019169551
Round took 0.021459387
Round took 0.018609103
Round took 0.022806771
Round took 0.021349048
Round took 0.017529788
Round took 0.018061981
Round took 0.027088641
Round took 0.025565392
Round took 0.01771342
Round took 0.01387367
Round took 0.024125409
Round took 0.025617118
Round took 0.024419084
Round took 0.025175906
Round took 0.022685023
Round took 0.024770551
Round took 0.029315272
Round took 0.022579456
Round took 0.012994448
Round took 0.019554228
Round took 0.017518208
Round took 0.016762089
Round took 0.019230916
Round took 0.025990397
Round took 0.017618311
Round took 0.01285594
Round took 0.030003583
Round took 0.024436944
Round took 0.021450485
Round took 0.026531826
Round took 0.026695269
Round took 0.020498147
Round took 0.021095078
Round took 0.026278145
Round took 0.022840193
Round took 0.029232973
Round took 0.022961058
